time,ch_1,ch_2,ch_3,ch_4
0.0,0.4967141530112327,-0.13826430117118466,0.6476885381006925,1.5230298564080254
0.005,-0.2325825809803962,-0.23256616320624077,1.5807836092503313,0.7690055228958486
0.01,-0.46633281395217263,0.5457016155687441,-0.4602761208296828,-0.4625881815874774
0.015,0.24667459078260612,-1.908567925441226,-1.7202055132964609,-0.5575752100244007
0.02,-1.0065481003927474,0.32053035253695017,-0.9017410555795348,-1.4060206813936154
0.025,1.4735024275774644,-0.21792264183062532,0.07538186334383418,-1.4168945275575464
0.03,-0.5349585046674785,0.12034680956757017,-1.1415693575645987,0.38512223820337604
0.035,-0.5896440018725524,-0.28069906174702425,-0.5907119241831443,1.8632728725551904
0.04,-0.0009321770162651743,-1.0451458812342311,0.8351099598248578,-1.2082786022493535
0.045,0.22299887838989202,-1.9455348404946389,-1.3140507655132938,0.21099651925426013
0.05,0.7541719595344746,0.18707366072903464,-0.09994290284917638,-0.28539831605022464
0.055,-1.4612466696801913,-0.7025688877074725,-0.44336345027255136,1.0743975469061517
0.06,0.36246338090342867,-1.7441950640277666,0.34292906072976226,-0.3662371890813493
0.065,-0.6565073243167038,0.6320909648301228,1.051414198485206,0.9516947951054535
0.07,-0.8172334640637061,-0.2872283166922821,0.35324749056249644,0.9975291862812916
0.075,-0.4556210124904686,-0.1621057513089958,-1.0827817486512068,-1.1726533987258494
0.08,0.8376479814840828,1.3813621876607076,-0.04688796249044907,1.0286550569819088
0.085,0.3883268699270144,-0.618428909725744,0.38808645038779416,1.5647274113453495
0.09,-0.007566771868939268,1.5929029230550182,-2.591485836848732,0.8501617716162361
0.095,0.11687447893325668,-0.2691799397707825,0.12158818723058765,-1.9577415039058075
0.1,-0.18827662807285525,0.3885078312764031,1.5092893045061728,-0.4868749585089907
0.105,-0.7755308039174987,-0.4687942446088476,0.948364916677763,0.3617139086353734
0.11,-0.4952301909098359,0.547797445970559,0.13160756220524328,1.0031750033900921
0.115,-0.665956207935922,-0.2915652606563379,-0.35601126719072734,-1.4274180621906882
0.12,0.3337836798285424,0.2987186749438557,0.04277685940642726,-0.19692373061118107
0.125,-1.3761411941864918,-0.3814157749014366,-0.303484968662847,-0.7630477213576964
